customer_id,join_date,loyalty_tier,pref_channel,region,label_affinity,discount_sensitivity,premium_pref,primary_category,recency_days,tenure_days,purchase_count_90,spend_90,aov_90,category_diversity_90,discount_share_90,premium_share_90,label_match_90,review_rate,avg_rating,avg_polarity,top_brand_share_90
1,2025-10-11,Diamond,email,Northeast,none,0.3920178764720503,0.562187070853094,face-serum,25,100,41,2372.69,57.87048780487805,17,0.14634146341463414,0.2682926829268293,0.0,0.35,3.857142857142857,0.426936126038842,0.07317073170731707
2,2025-07-07,Member,email,Midwest,clean,0.8075965912534803,0.4085305556414185,eye-cream-dark-circles,19,196,5,278.0,55.6,4,0.0,0.6,0.8,0.0,0.0,0.0,0.2
3,2025-07-25,Member,email,West,none,0.6360077514535428,0.8466851923273029,face-sunscreen,55,178,3,85.0,28.333333333333332,3,0.0,0.0,0.0,0.25,5.0,1.0,0.3333333333333333
4,2025-09-27,Member,app_push,West,cruelty-free,0.11273495586785623,0.3891106370621216,face-sunscreen,30,114,7,448.5,64.07142857142857,6,0.0,0.42857142857142855,0.2857142857142857,0.42857142857142855,3.3333333333333335,0.20603992966992682,0.2857142857142857
5,2025-06-23,Diamond,sms,Northeast,none,0.3857319117565988,0.4351855774103189,body-lotion-body-oil,35,210,6,158.3,26.383333333333336,6,0.16666666666666666,0.0,0.0,0.23076923076923078,4.666666666666667,0.6414817742737925,0.16666666666666666
6,2025-08-21,Member,email,South,none,0.8167861756959773,0.7148843440347772,face-sunscreen,45,151,6,392.3,65.38333333333334,4,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666
7,2025-09-08,Member,sms,South,clean,0.405228671649735,0.4288482799738021,face-serum,51,133,9,442.6,49.17777777777778,8,0.2222222222222222,0.1111111111111111,0.5555555555555556,0.0,0.0,0.0,0.1111111111111111
8,2025-03-09,Member,app_push,Midwest,none,0.16627082790927833,0.962648281191541,face-sunscreen,214,316,0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,5.0,1.0,0.0
9,2025-01-17,Platinum,email,South,planet,0.2624969798891732,0.49422334379663374,face-serum,95,367,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2025-04-01,Diamond,app_push,Northeast,luxury,0.42581864195370533,0.6777045966549573,facial-treatment-masks,26,293,13,567.28,43.636923076923075,9,0.38461538461538464,0.23076923076923078,0.07692307692307693,0.38461538461538464,4.6,0.7880181426427467,0.15384615384615385
11,2025-03-27,Platinum,email,South,none,0.40580469990275553,0.5699819454165199,skin-care-sets-travel-value,78,298,3,194.0,64.66666666666667,3,0.0,0.3333333333333333,0.0,0.125,5.0,1.0,0.3333333333333333
12,2025-09-20,Member,sms,Northeast,none,0.10022589040102368,0.8402397501158524,facial-treatment-masks,39,121,10,452.75,45.275,7,0.1,0.2,0.0,0.0,0.0,0.0,0.1
13,2025-10-01,Member,email,Midwest,none,0.5336768001589366,0.2612594630902053,face-sunscreen,21,110,8,362.18,45.2725,6,0.375,0.5,0.0,0.125,5.0,0.775537712076553,0.25
14,2025-01-02,Platinum,email,South,none,0.09358308435565045,0.8832184606257408,face-sunscreen,28,382,10,868.5,86.85,8,0.0,0.4,0.0,0.625,3.8,0.12243256233110153,0.1
