customer_id,join_date,loyalty_tier,pref_channel,region,label_affinity,discount_sensitivity,premium_pref,primary_category
1,2025-10-11,Diamond,email,Northeast,none,0.3920178764720503,0.562187070853094,face-serum
2,2025-07-07,Member,email,Midwest,clean,0.8075965912534803,0.4085305556414185,eye-cream-dark-circles
3,2025-07-25,Member,email,West,none,0.6360077514535428,0.8466851923273029,face-sunscreen
4,2025-09-27,Member,app_push,West,cruelty-free,0.11273495586785623,0.3891106370621216,face-sunscreen
5,2025-06-23,Diamond,sms,Northeast,none,0.3857319117565988,0.4351855774103189,body-lotion-body-oil
6,2025-08-21,Member,email,South,none,0.8167861756959773,0.7148843440347772,face-sunscreen
7,2025-09-08,Member,sms,South,clean,0.405228671649735,0.4288482799738021,face-serum
8,2025-03-09,Member,app_push,Midwest,none,0.16627082790927833,0.962648281191541,face-sunscreen
9,2025-01-17,Platinum,email,South,planet,0.2624969798891732,0.49422334379663374,face-serum
10,2025-04-01,Diamond,app_push,Northeast,luxury,0.42581864195370533,0.6777045966549573,facial-treatment-masks
11,2025-03-27,Platinum,email,South,none,0.40580469990275553,0.5699819454165199,skin-care-sets-travel-value
12,2025-09-20,Member,sms,Northeast,none,0.10022589040102368,0.8402397501158524,facial-treatment-masks
13,2025-10-01,Member,email,Midwest,none,0.5336768001589366,0.2612594630902053,face-sunscreen
14,2025-01-02,Platinum,email,South,none,0.09358308435565045,0.8832184606257408,face-sunscreen
15,2025-05-30,Diamond,email,South,none,0.40197087492432215,0.7479967841519011,facial-treatment-masks
16,2025-09-04,Member,sms,South,none,0.05450608554347429,0.55060508873594,skin-care-sets-travel-value
17,2025-02-09,Platinum,email,South,none,0.48766843347871025,0.8947702379748381,body-lotion-body-oil
18,2025-08-28,Member,sms,South,clean,0.2036614980670237,0.607924510772166,lip-balm-lip-care
19,2025-02-05,Member,app_push,South,none,0.27392902175305345,0.8300607872720707,face-sunscreen
20,2025-05-21,Member,email,Midwest,none,0.34710850448409325,0.37664564729202266,mini-skincare
21,2025-09-02,Member,email,Northeast,none,0.19904237293458704,0.696335887375544,face-wash-facial-cleanser
22,2025-04-01,Diamond,sms,Midwest,clean,0.20617418698462472,0.6238538602217526,facial-treatment-masks
23,2025-04-13,Platinum,email,South,none,0.3495551786667902,0.3442953002724875,face-creams
24,2025-03-25,Member,email,Northeast,clean,0.1816524991296971,0.32407742710409637,skin-care-sets-travel-value
25,2025-08-04,Platinum,email,Northeast,planet,0.1147261591732561,0.6918699491112038,facial-treatment-masks
26,2025-03-18,Member,sms,West,none,0.2742293071239433,0.5285347412342202,face-serum
27,2025-10-25,Member,app_push,Northeast,cruelty-free,0.44657423170438215,0.7950389713410284,body-lotion-body-oil
28,2025-05-14,Member,app_push,South,none,0.41543174113543374,0.3175162426427178,body-lotion-body-oil
29,2025-05-24,Member,app_push,West,none,0.10787488408111363,0.2671259543296973,face-serum
30,2025-06-01,Member,email,Northeast,luxury,0.7161085496996524,0.5477415084915944,body-lotion-body-oil
31,2025-06-24,Member,app_push,Northeast,none,0.5465161576889551,0.729690707812864,facial-treatment-masks
32,2025-06-16,Member,sms,South,none,0.4108602501693303,0.6312317427380606,eye-cream-dark-circles
33,2025-06-02,Member,email,West,clean,0.25936489947601765,0.6206005669642667,skin-care-sets-travel-value
34,2025-10-26,Member,app_push,Northeast,none,0.0640798902357065,0.5664208647856944,facial-treatment-masks
